ACP,3.4.39,2566583
angry-assignments,v1.10.0,0
angry-keystones,v0.13.1,2586692
Archy,7.3.2.1,0
Auctionator,Auctionator 5.0.3,2586328
Bagnon,8.0.0b,2586199
Bartender4,4.8.1,0
BlizzMove,v1.7.2,0
Decursive,2.7.5.8,0
DejaCharacterStats,800r105,0
Easy_Obliterate,Easy Obliterate 31,2587505
ErrorFilter,v3.4,0
exorsus-raid-tools,Exorsus Raid Tools v.3930,2583594
Gnosis,v4.67,2587078
Grid2,r814,0
HandyNotes,v1.5.2,0
HandyNotes_DraenorTreasures,v1.21,2585173
HandyNotes_LegionRaresTreasures,v1.1,2585176
HandyNotes_LegionTreasures,v13,2585130
kuinameplates,2.16.1,2585875
Mapster,1.8.0,0
Masque,8.0.0,0
master-plan,0.113,0
MBB,Release v3.03 to Curse.com,2552565
MeetingStone,80000.01,0
NomiCakes,8.0.0.1,0
Postal,v3.6.0,0
prat-3-0,3.7.0,2587441
Scrap,13.6,0
SexyMap,v8.0.2,0
shadowed-unit-frames,v4.2.0,0
Simulationcraft,v1.10.1,2583264
Skada,1.7.3,0
TellMeWhen,8.5.0,0
tidy-plates,6.18.11,0
tip-tac,18.07.19,0
WhisperPop,4.30,0
world-quests-list,World Quests List v.6.3,2587414
XLoot,8.0-3,0
